iter	Passed	Remaining
0	10	2624
1	20	2562
2	30	2502
3	38	2395
4	47	2322
5	55	2237
6	62	2186
7	71	2159
8	78	2112
9	87	2106
10	98	2135
11	107	2124
12	115	2108
13	122	2059
14	128	2020
15	136	1994
16	144	1974
17	156	2016
18	163	1991
19	170	1965
20	177	1935
21	183	1905
22	191	1887
23	200	1887
24	207	1867
25	214	1848
26	225	1858
27	233	1848
28	240	1831
29	246	1806
30	252	1785
31	259	1767
32	266	1749
33	272	1733
34	282	1735
35	291	1731
36	298	1718
37	304	1697
38	310	1681
39	317	1664
40	323	1647
41	330	1634
42	341	1642
43	352	1649
44	359	1637
45	366	1625
46	373	1611
47	379	1596
48	385	1582
49	392	1571
50	401	1566
51	410	1562
52	417	1552
53	423	1536
54	431	1528
55	438	1517
56	446	1511
57	453	1500
58	463	1499
59	472	1497
60	480	1490
61	488	1481
62	495	1471
63	504	1466
64	512	1458
65	519	1446
66	541	1479
67	552	1480
68	562	1476
69	571	1468
70	577	1457
71	584	1445
72	591	1433
73	597	1422
74	604	1410
75	611	1399
76	624	1403
77	632	1394
78	640	1385
79	647	1375
80	655	1366
81	661	1356
82	669	1346
83	676	1337
84	685	1330
85	694	1325
86	702	1316
87	709	1306
88	715	1294
89	722	1284
90	727	1271
91	733	1260
92	739	1249
93	748	1242
94	757	1236
95	764	1225
96	770	1214
97	776	1204
98	783	1194
99	789	1184
100	796	1174
101	803	1165
102	811	1158
103	821	1153
104	828	1144
105	834	1134
106	841	1124
107	846	1113
108	852	1102
109	858	1092
110	866	1085
111	879	1083
112	886	1074
113	892	1064
114	898	1054
115	905	1045
116	911	1036
117	917	1026
118	923	1017
119	932	1010
120	941	1003
121	947	993
122	953	984
123	959	974
124	966	966
125	971	956
126	976	946
127	983	937
128	992	931
129	999	922
130	1005	913
131	1011	904
132	1018	895
133	1025	887
134	1031	878
135	1038	870
136	1048	864
137	1058	858
138	1066	851
139	1073	843
140	1080	835
141	1086	826
142	1093	818
143	1100	809
144	1109	803
145	1118	796
146	1126	789
147	1133	781
148	1140	773
149	1147	764
150	1154	756
151	1161	748
152	1171	742
153	1179	735
154	1187	727
155	1194	719
156	1202	712
157	1209	704
158	1216	696
159	1224	688
160	1232	681
161	1242	675
162	1250	667
163	1257	659
164	1263	651
165	1269	642
166	1276	634
167	1282	625
168	1289	617
169	1298	610
170	1307	604
171	1314	596
172	1321	588
173	1327	579
174	1333	571
175	1340	563
176	1347	555
177	1354	547
178	1361	540
179	1371	533
180	1378	525
181	1384	517
182	1391	509
183	1397	501
184	1403	493
185	1409	484
186	1420	478
187	1430	471
188	1437	463
189	1443	455
190	1450	447
191	1456	439
192	1461	431
193	1467	423
194	1476	416
195	1487	409
196	1493	401
197	1498	393
198	1504	385
199	1510	377
200	1516	369
201	1523	361
202	1530	354
203	1540	347
204	1549	340
205	1556	332
206	1562	324
207	1569	316
208	1575	309
209	1581	301
210	1587	293
211	1595	286
212	1605	278
213	1612	271
214	1617	263
215	1623	255
216	1630	247
217	1637	240
218	1642	232
219	1648	224
220	1655	217
221	1667	210
222	1674	202
223	1680	195
224	1687	187
225	1694	179
226	1700	172
227	1706	164
228	1712	157
229	1723	149
230	1730	142
231	1736	134
232	1741	127
233	1747	119
234	1752	111
235	1758	104
236	1764	96
237	1773	89
238	1783	82
239	1790	74
240	1795	67
241	1802	59
242	1808	52
243	1812	44
244	1818	37
245	1830	29
246	1839	22
247	1846	14
248	1853	7
249	1859	0
