wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
3,1,15.604389716410298,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
15,12,22.61713052911162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
31,1,20.309172679540378,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
38,21,27.42193495499238,21,27.42193495499238,21,27.42193495499238,0,0,0,0,1,0,0,0,0,0,Negative
47,18,45.740534453019244,355,48.776628225903984,5,11.154978283509006,0,0,0,0,1,0,0,0,0,0,Negative
60,1,20.13447867171071,1,20.13447867171071,1,20.13447867171071,0,0,0,0,0,1,0,0,0,0,Positive
75,1,17.99618723875445,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
76,63,25.64178719866903,63,25.64178719866903,185,25.681984242520354,0,0,0,0,1,0,0,0,0,0,Negative
85,4,19.690278160343038,0,0,4,19.050626679488992,0,0,0,0,1,0,0,0,0,0,Positive
91,34,26.69190726720817,0,0,40,21.159822845933267,0,0,0,0,1,0,0,0,0,0,Positive
95,4,45.42904920824496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
96,3,28.846571607870494,3,28.846571607870494,3,28.846571607870494,0,0,0,0,0,0,0,0,0,0,Negative
97,60,45.9560374509155,106,48.14728244544912,47,21.70340451043798,0,0,0,0,1,0,0,0,0,0,Negative
106,5,19.40111847032754,5,19.40111847032754,5,19.40111847032754,0,0,0,0,0,0,0,0,0,0,Negative
110,141,28.21081772682395,141,28.21081772682395,141,28.21081772682395,0,0,0,0,1,0,0,0,0,0,Negative
133,26,23.663120157449935,0,0,85,21.93768500403184,0,0,0,0,1,0,0,0,0,0,Positive
137,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
152,161,28.008489891646967,161,28.008489891646967,234,28.010694093631294,0,0,0,0,1,0,0,0,0,0,Positive
171,19,26.10210329187291,0,0,10,20.128118657194737,0,0,0,0,1,0,0,0,0,0,Positive
187,1,21.53009125733706,0,0,1,15.9786772495662,0,0,0,0,1,1,0,0,0,1,Positive
188,4,48.23894019539488,4,48.23894019539488,4,48.23894019539488,0,0,0,0,1,0,0,0,0,0,Negative
191,24,26.90623744052001,0,0,147,22.869661832133538,0,0,0,0,1,0,0,0,0,0,Positive
203,17,20.851130679961063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
205,19,42.17458705221227,18,46.56571094455494,341,23.635107639286815,0,0,0,0,1,0,0,0,0,0,Positive
206,1,17.622835539349666,1,17.622835539349666,1,17.622835539349666,0,0,0,0,0,1,0,0,1,0,Positive
222,12,26.630223390079912,12,26.630223390079912,24,26.63218661761694,0,0,0,0,1,1,0,0,0,0,Positive
225,35,31.39189332430822,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
230,45,24.473115782821584,45,24.473115782821584,45,24.473115782821584,0,0,0,0,1,0,0,0,0,0,Negative
235,5,23.59193556574768,0,0,2,18.51592440336244,0,0,0,0,1,0,0,0,0,0,Negative
249,2,22.669175986001726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
251,12,25.145955847997357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
252,57,27.93455708770771,57,27.93455708770771,61,27.934780271211377,0,0,0,0,1,0,0,0,0,0,Negative
256,124,45.92874742925327,383,48.86088888271512,350,45.92874742934178,0,0,0,0,1,0,0,0,0,0,Negative
266,105,44.86832285940538,353,48.4134895630366,106,44.868322859406405,0,0,0,0,1,0,0,0,0,0,Negative
267,1,22.738168857488677,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
268,2,25.340044384030193,2,25.340044384030193,2,25.340044384030193,0,0,0,0,1,0,0,0,0,0,Positive
274,38,44.35926228816673,38,44.35926228816673,38,44.35926228816673,0,0,0,0,1,0,0,0,0,0,Negative
275,43,29.567595056167374,0,0,26,21.41956525498127,0,0,0,0,1,0,0,0,0,0,Positive
280,62,47.645966851043944,273,51.455633807989486,87,47.64596685104558,0,0,0,0,1,0,0,0,0,0,Negative
